time,年,月,日,小时,分钟,秒,温度(室外),湿度(室外),气压(室外),湿度(室内),气压(室内),temperature
1552500170,2019,3,14,2,2,50,13.6,88,993.3,,,
1552500227,2019,3,14,2,3,47,13.6,88,993.8,82,992.3,14.7
1552500290,2019,3,14,2,4,50,13.6,88,993.6,82,992.1,14.7
1552500347,2019,3,14,2,5,47,13.6,89,994,82,992.1,14.7
1552500408,2019,3,14,2,6,48,13.6,89,994,82,992.4,14.7
1552500468,2019,3,14,2,7,48,13.6,89,993.9,82,992.3,14.7
1552500531,2019,3,14,2,8,51,13.6,89,994.5,82,992.3,14.7
1552500591,2019,3,14,2,9,51,13.5,89,994.5,82,992.6,14.7
1552500650,2019,3,14,2,10,50,13.5,89,995,82,992.6,14.6
1552500708,2019,3,14,2,11,48,13.4,89,994.6,82,992.6,14.6
1552500770,2019,3,14,2,12,50,13.4,89,992.6,82,992.4,14.6
1552500829,2019,3,14,2,13,49,13.4,89,930.4,82,992.4,14.6
1552500892,2019,3,14,2,14,52,13.4,89,993,82,992.5,14.6
1552500949,2019,3,14,2,15,49,13.3,89,993.2,82,992.5,14.6
1552501011,2019,3,14,2,16,51,13.3,90,993.2,82,992.5,14.6
1552501070,2019,3,14,2,17,50,13.3,90,993.6,82,992.9,14.5
1552501132,2019,3,14,2,18,52,13.3,90,993.7,82,992.9,14.5
1552501193,2019,3,14,2,19,53,13.2,90,993.8,82,992.7,14.5
1552501249,2019,3,14,2,20,49,13.2,90,993.6,83,992.7,14.5
1552501310,2019,3,14,2,21,50,13.2,90,994,83,993,14.5
1552501371,2019,3,14,2,22,51,13.2,91,994.1,83,993,14.4
1552501432,2019,3,14,2,23,52,13.2,91,992.3,83,993.1,14.4
1552501490,2019,3,14,2,24,50,13.2,91,992.3,83,993.1,14.3
1552501550,2019,3,14,2,25,50,13.2,91,992.5,84,993.2,14.3
1552501612,2019,3,14,2,26,52,13.2,91,992.6,83,993.5,14.3
1552501672,2019,3,14,2,27,52,13.2,91,992.9,84,993.3,14.4
1552501732,2019,3,14,2,28,52,13.2,91,992.6,84,993.3,14.4
1552501791,2019,3,14,2,29,51,13.2,91,992.8,84,993.4,14.4
1552501851,2019,3,14,2,30,51,13.2,91,992.4,84,993.3,14.4
1552501912,2019,3,14,2,31,52,13.2,91,992.9,84,993.4,14.4
1552501974,2019,3,14,2,32,54,13.2,91,992.8,84,991.7,14.4
1552502033,2019,3,14,2,33,53,13.2,91,992.8,84,991.7,14.4
1552502092,2019,3,14,2,34,52,13.2,91,993.4,84,991.8,14.4
1552502152,2019,3,14,2,35,52,13.2,92,992.7,84,991.8,14.4
1552502213,2019,3,14,2,36,53,13.2,92,992.8,84,991.8,14.4
1552502271,2019,3,14,2,37,51,13.3,92,992.4,84,991.8,14.4
1552502334,2019,3,14,2,38,54,13.1,92,992.6,84,991.9,14.5
1552502395,2019,3,14,2,39,55,13.2,92,992.8,84,991.8,14.5
1552502455,2019,3,14,2,40,55,13.2,92,992.9,84,991.9,14.5
1552502513,2019,3,14,2,41,53,13.2,92,992.9,84,991.9,14.5
1552502571,2019,3,14,2,42,51,13.1,92,992.7,84,992,14.4
1552502632,2019,3,14,2,43,52,,,,84,991.9,14.4
1552502633,2019,3,14,2,43,53,13.1,92,930.4,,,
1552502692,2019,3,14,2,44,52,13.1,92,992.8,84,991.9,14.5
1552502754,2019,3,14,2,45,54,13.1,92,992.9,84,992.1,14.5
1552502815,2019,3,14,2,46,55,13.1,92,992.8,84,991.9,14.4
1552502874,2019,3,14,2,47,54,13.1,92,992.8,84,991.9,14.4
1552502934,2019,3,14,2,48,54,13.1,92,992.9,84,991.9,14.4
1552502993,2019,3,14,2,49,53,13.1,92,993.3,84,991.9,14.5
1552503053,2019,3,14,2,50,53,13.1,92,993.1,84,992.1,14.5
1552503113,2019,3,14,2,51,53,13.1,92,993.3,84,992.1,14.4
1552503175,2019,3,14,2,52,55,13.1,92,993.3,84,991.9,14.4
1552503233,2019,3,14,2,53,53,13.1,92,992.6,84,992,14.4
1552503293,2019,3,14,2,54,53,13.1,92,993.4,84,992,14.4
1552503352,2019,3,14,2,55,52,13.1,92,993.4,84,992,14.4
1552503413,2019,3,14,2,56,53,13.1,92,992.8,84,992,14.4
1552503475,2019,3,14,2,57,55,13.1,92,992.8,84,992.2,14.4
1552503536,2019,3,14,2,58,56,13,91,930.7,84,992,14.4
1552503593,2019,3,14,2,59,53,13,91,993.3,84,992.2,14.4
1552503654,2019,3,14,3,0,54,13,92,993.1,84,992,14.4
1552503717,2019,3,14,3,1,57,13.1,92,993,84,992,14.4
1552503774,2019,3,14,3,2,54,13.2,92,993.4,84,992.1,14.4
1552503835,2019,3,14,3,3,55,13.2,92,992.9,84,992.1,14.4
1552503894,2019,3,14,3,4,54,13.3,92,992.6,84,992.1,14.4
1552503955,2019,3,14,3,5,55,13.2,90,992.6,84,992.1,14.4
1552504013,2019,3,14,3,6,53,13.2,90,992.6,83,992.1,14.3
1552504077,2019,3,14,3,7,57,13.2,90,992.6,82,992.3,14.2
1552504134,2019,3,14,3,8,54,13.2,90,992.6,82,992,14.1
1552504194,2019,3,14,3,9,54,13.2,90,992.6,82,992.3,14
1552504254,2019,3,14,3,10,54,13.2,90,992.6,82,992.6,14
1552504314,2019,3,14,3,11,54,13.2,90,992.6,82,992.5,13.9
1552504375,2019,3,14,3,12,55,13.2,90,992.6,82,992.7,13.9
1552504434,2019,3,14,3,13,54,13.2,90,992.6,82,992.9,13.8
1552504494,2019,3,14,3,14,54,13.2,90,992.6,82,993.1,13.9
1552504556,2019,3,14,3,15,56,13.2,90,992.6,81,993,13.9
1552504615,2019,3,14,3,16,55,13.4,86,994.1,81,993.2,13.9
1552504676,2019,3,14,3,17,56,13.3,86,993.8,81,993,13.9
1552504736,2019,3,14,3,18,56,13.4,86,993.8,81,993.1,13.9
1552504796,2019,3,14,3,19,56,13.3,86,994,81,993.3,13.9
1552504857,2019,3,14,3,20,57,13.3,86,994.1,81,993.5,14
1552504915,2019,3,14,3,21,55,13.3,86,994.1,81,993.5,14
1552504977,2019,3,14,3,22,57,13.3,86,931.4,81,993.5,14
1552505038,2019,3,14,3,23,58,13.4,86,993.8,81,993.3,14
1552505096,2019,3,14,3,24,56,13.4,86,993.3,81,993.1,13.9
1552505157,2019,3,14,3,25,57,13.4,85,993.5,81,991.4,13.9
1552505218,2019,3,14,3,26,58,13.3,85,994,81,991.4,13.9
1552505278,2019,3,14,3,27,58,13.3,85,993.9,81,991.5,13.9
1552505337,2019,3,14,3,28,57,13.3,86,993.7,81,991.6,13.9
1552505396,2019,3,14,3,29,56,13.3,86,993.6,81,991.4,13.8
1552505457,2019,3,14,3,30,57,13.3,86,993.6,81,991.6,13.7
1552505520,2019,3,14,3,32,0,13.3,85,994,81,991.7,13.7
1552505578,2019,3,14,3,32,58,13.3,85,994.1,81,991.8,13.6
1552505638,2019,3,14,3,33,58,13.3,86,993.8,81,991.8,13.6
1552505698,2019,3,14,3,34,58,13.3,85,993.8,81,992.1,13.6
1552505760,2019,3,14,3,36,0,13.3,85,994,81,992,13.7
1552505818,2019,3,14,3,36,58,13.3,85,991.9,81,992.2,13.7
1552505877,2019,3,14,3,37,57,13.3,85,993.5,81,992.3,13.7
1552505939,2019,3,14,3,38,59,13.3,85,993.5,81,992,13.8
1552506000,2019,3,14,3,40,0,13.3,85,993.5,81,992,13.8
1552506060,2019,3,14,3,41,0,13.4,86,992.1,81,992,13.9
1552506118,2019,3,14,3,41,58,13.5,86,993.3,82,992,13.9
1552506179,2019,3,14,3,42,59,13.5,86,993.2,82,992,13.9
1552506239,2019,3,14,3,43,59,13.5,86,993.4,82,992.2,13.9
1552506301,2019,3,14,3,45,1,13.5,86,993.4,82,992,14
1552506358,2019,3,14,3,45,58,13.5,86,993.2,82,992,14
1552506418,2019,3,14,3,46,58,13.5,86,993.1,82,991.9,14
1552506477,2019,3,14,3,47,57,13.5,86,993.3,82,991.9,14
1552506538,2019,3,14,3,48,58,13.6,86,993.3,82,991.9,14
1552506601,2019,3,14,3,50,1,13.5,86,992.5,82,991.9,14.1
1552506661,2019,3,14,3,51,1,13.5,86,993.3,82,991.8,14.1
1552506720,2019,3,14,3,52,0,13.4,86,993,82,991.8,14
1552506781,2019,3,14,3,53,1,13.4,86,993,82,991.8,14
1552506841,2019,3,14,3,54,1,13.4,87,993.1,82,991.6,14.1
1552506902,2019,3,14,3,55,2,13.3,86,992.7,82,991.8,14.1
1552506959,2019,3,14,3,55,59,13.2,87,993.6,82,991.8,14.1
1552507019,2019,3,14,3,56,59,13.3,87,993.5,82,991.8,14.1
1552507080,2019,3,14,3,58,0,13.3,87,993.6,82,991.7,14.1
1552507140,2019,3,14,3,59,0,13.2,86,993.8,82,991.7,14.1
1552507199,2019,3,14,3,59,59,13.2,86,993.8,82,991.7,14.1
1552507260,2019,3,14,4,1,0,13.2,87,993.7,82,990.9,14.1
1552507319,2019,3,14,4,1,59,13.2,87,993.7,82,991.7,14.1
1552507380,2019,3,14,4,3,0,13.2,87,991.9,82,991.5,14.1
1552507440,2019,3,14,4,4,0,13.2,87,994,82,991.5,14.1
1552507499,2019,3,14,4,4,59,13.2,87,994.2,82,991.5,14.1
1552507560,2019,3,14,4,6,0,13.2,87,991.9,82,991.6,14.1
1552507626,2019,3,14,4,7,6,13.2,88,991.9,82,991.5,14.1
1552507681,2019,3,14,4,8,1,13.2,87,991.9,82,991.6,14.1
1552507741,2019,3,14,4,9,1,13.2,87,992.4,82,991.6,14.1
1552507802,2019,3,14,4,10,2,13.2,87,991.9,82,991.6,14.1
1552507861,2019,3,14,4,11,1,13.2,87,992.6,82,991.6,14.1
1552507921,2019,3,14,4,12,1,13.2,87,993.5,82,991.5,14.1
1552507980,2019,3,14,4,13,0,13.2,87,994.2,82,991.5,14.1
1552508040,2019,3,14,4,14,0,13.2,87,993.8,82,991.7,14.1
1552508101,2019,3,14,4,15,1,13.2,87,992.1,82,991.3,14.1
1552508160,2019,3,14,4,16,0,13.1,87,993.6,82,991.7,14
1552508222,2019,3,14,4,17,2,13.1,87,992.2,82,991.6,14
1552508283,2019,3,14,4,18,3,13.1,87,992.2,82,991.8,14
1552508342,2019,3,14,4,19,2,13.1,87,992.2,82,991.8,14
1552508403,2019,3,14,4,20,3,13.1,87,992.6,82,991.8,14
1552508463,2019,3,14,4,21,3,13.1,87,992.4,82,991.6,14
1552508523,2019,3,14,4,22,3,13.1,87,992.1,82,991.8,14
1552508582,2019,3,14,4,23,2,13.1,87,992.6,82,991.9,13.9
1552508643,2019,3,14,4,24,3,13,87,992.1,82,991.6,13.9
1552508701,2019,3,14,4,25,1,13,87,992.2,82,992,13.9
1552508761,2019,3,14,4,26,1,13,87,992.5,82,992,13.9
1552508822,2019,3,14,4,27,2,13,88,993,82,992.3,13.9
1552508882,2019,3,14,4,28,2,12.9,88,992.8,82,992,13.9
1552508942,2019,3,14,4,29,2,12.9,88,930.4,82,991.9,13.9
1552509004,2019,3,14,4,30,4,12.9,88,993,82,991.9,13.9
1552509063,2019,3,14,4,31,3,12.9,88,993.2,82,992.2,13.9
1552509124,2019,3,14,4,32,4,12.8,87,993.3,82,992.2,13.9
1552509184,2019,3,14,4,33,4,12.8,88,993.5,82,992.2,13.8
1552509242,2019,3,14,4,34,2,12.8,88,993.6,82,992.2,13.9
1552509303,2019,3,14,4,35,3,12.8,88,993.9,82,992.4,13.9
1552509363,2019,3,14,4,36,3,12.9,88,993.5,82,992.2,13.9
1552509425,2019,3,14,4,37,5,12.9,88,993.4,82,992.4,13.9
1552509483,2019,3,14,4,38,3,12.8,88,993.7,82,992.2,13.9
1552509545,2019,3,14,4,39,5,12.7,88,1075.2,82,992.2,13.8
1552509603,2019,3,14,4,40,3,12.7,89,991.9,82,992.2,13.8
1552509663,2019,3,14,4,41,3,12.6,89,992.5,82,992.6,13.7
1552509725,2019,3,14,4,42,5,12.6,89,930.1,82,992.4,13.7
1552509783,2019,3,14,4,43,3,12.6,89,992.4,82,992.7,13.7
1552509845,2019,3,14,4,44,5,12.6,90,992.3,83,992.7,13.7
1552509904,2019,3,14,4,45,4,12.6,90,993,83,992.6,13.7
1552509965,2019,3,14,4,46,5,12.6,90,993,83,992.8,13.7
1552510023,2019,3,14,4,47,3,12.6,90,993,83,992.8,13.7
1552510086,2019,3,14,4,48,6,12.6,90,993,83,991,13.7
1552510144,2019,3,14,4,49,4,12.6,90,993,83,991,13.7
1552510205,2019,3,14,4,50,5,12.6,90,993,84,991,13.7
1552510263,2019,3,14,4,51,3,12.6,90,993,84,991,13.7
1552510326,2019,3,14,4,52,6,12.6,90,993,84,991,13.7
1552510385,2019,3,14,4,53,5,12.6,90,993,84,991.3,13.7
1552510447,2019,3,14,4,54,7,12.6,90,993,84,991.3,13.7
1552510506,2019,3,14,4,55,6,12.6,90,993,84,991.3,13.6
1552510565,2019,3,14,4,56,5,12.5,91,993.7,84,991.3,13.6
1552510628,2019,3,14,4,57,8,12.5,91,993.5,84,991.4,13.6
1552510687,2019,3,14,4,58,7,12.5,91,994,84,991.4,13.6
1552510745,2019,3,14,4,59,5,12.5,91,994.3,84,991.6,13.6
1552510807,2019,3,14,5,0,7,12.5,91,993.5,84,991.8,13.6
1552510865,2019,3,14,5,1,5,12.5,91,993.5,84,991.7,13.5
1552510925,2019,3,14,5,2,5,12.5,91,993.5,84,992,13.5
1552510988,2019,3,14,5,3,8,12.5,91,993.5,84,992,13.5
1552511046,2019,3,14,5,4,6,12.5,91,993.5,84,991.9,13.5
1552511105,2019,3,14,5,5,5,12.5,91,993.5,84,992.2,13.5
1552511166,2019,3,14,5,6,6,12.5,91,993.5,84,992.2,13.6
1552511228,2019,3,14,5,7,8,12.5,91,993.5,85,992.2,13.6
1552511286,2019,3,14,5,8,6,12.5,91,993.5,85,992.2,13.5
1552511346,2019,3,14,5,9,6,12.5,91,993.5,85,992.4,13.6
1552511410,2019,3,14,5,10,10,12.5,91,993.5,85,992.2,13.5
1552511467,2019,3,14,5,11,7,12.5,91,993.5,85,992.2,13.5
1552511526,2019,3,14,5,12,6,12.5,91,993.5,85,992.5,13.5
1552511589,2019,3,14,5,13,9,12.5,91,993.5,85,992.6,13.4
1552511646,2019,3,14,5,14,6,12.5,91,993.5,85,992.6,13.4
1552511706,2019,3,14,5,15,6,12.5,91,993.5,85,992.6,13.4
1552511768,2019,3,14,5,16,8,12.5,91,993.5,85,992.9,13.5
1552511826,2019,3,14,5,17,6,12.5,91,993.5,85,410.8,13.5
1552511887,2019,3,14,5,18,7,12.5,91,993.5,85,992.4,13.4
1552511947,2019,3,14,5,19,7,12.5,91,993.5,85,992.7,13.5
1552512008,2019,3,14,5,20,8,12.5,91,993.5,85,992.7,13.5
1552512068,2019,3,14,5,21,8,12.5,91,993.5,85,992.7,13.5
1552512128,2019,3,14,5,22,8,12.5,91,993.5,85,992.7,13.4
1552512187,2019,3,14,5,23,7,12.5,91,993.5,85,992.8,13.4
1552512247,2019,3,14,5,24,7,12.5,91,993.5,85,992.8,13.4
1552512308,2019,3,14,5,25,8,12.5,91,993.5,85,992.8,13.4
1552512369,2019,3,14,5,26,9,12.5,91,993.5,85,992.8,13.3
1552512427,2019,3,14,5,27,7,12.5,91,993.5,85,992.8,13.4
1552512488,2019,3,14,5,28,8,12.5,91,993.5,85,992.9,13.4
1552512549,2019,3,14,5,29,9,12.5,91,993.5,85,993.1,13.4
1552512611,2019,3,14,5,30,11,12.5,91,993.5,85,993.1,13.5
1552512670,2019,3,14,5,31,10,12.5,91,993.5,85,992.8,13.5
1552512729,2019,3,14,5,32,9,12.4,92,993.5,85,992.8,13.5
1552512789,2019,3,14,5,33,9,12.3,92,993,85,992.8,13.4
1552512849,2019,3,14,5,34,9,12.2,92,993.3,85,993.1,13.4
1552512910,2019,3,14,5,35,10,12.2,92,993,85,992.9,13.4
1552512969,2019,3,14,5,36,9,12.2,92,993.6,85,992.9,13.4
1552513028,2019,3,14,5,37,8,12.3,92,993.4,85,992.9,13.4
1552513091,2019,3,14,5,38,11,12.3,93,993.4,85,993,13.4
1552513151,2019,3,14,5,39,11,12.3,92,994.1,85,993,13.4
1552513210,2019,3,14,5,40,10,12.3,93,993.5,85,993,13.4
1552513269,2019,3,14,5,41,9,12.3,93,993.5,85,993.2,13.4
1552513330,2019,3,14,5,42,10,12.3,93,993.4,85,993,13.5
1552513389,2019,3,14,5,43,9,12.2,93,993.7,85,993.2,13.5
1552513451,2019,3,14,5,44,11,12.3,93,994,85,993.1,13.5
1552513510,2019,3,14,5,45,10,12.3,93,993.5,85,993,13.5
1552513569,2019,3,14,5,46,9,12.3,93,993.5,85,993.2,13.5
1552513630,2019,3,14,5,47,10,12.3,92,993.7,85,991.3,13.4
1552513690,2019,3,14,5,48,10,12.2,93,993.5,85,993.2,13.4
1552513751,2019,3,14,5,49,11,12.2,93,993.9,85,991.3,13.4
1552513812,2019,3,14,5,50,12,12.2,93,993.7,85,991.3,13.4
1552513870,2019,3,14,5,51,10,12.2,93,994.3,85,991.5,13.3
1552513933,2019,3,14,5,52,13,12.2,93,994.1,85,991.6,13.3
1552513990,2019,3,14,5,53,10,12.2,93,993.9,85,991.6,13.4
1552514051,2019,3,14,5,54,11,12.2,93,992.1,86,991.6,13.4
1552514170,2019,3,14,5,56,10,12.2,93,994.2,86,991.8,13.3
1552514232,2019,3,14,5,57,12,12.2,93,992.5,86,991.7,13.3
1552514294,2019,3,14,5,58,14,12.2,93,992.3,86,991.7,13.3
1552514351,2019,3,14,5,59,11,12.2,93,994,86,991.7,13.4
1552514411,2019,3,14,6,0,11,12.3,93,993.9,86,991.7,13.3
1552514474,2019,3,14,6,1,14,12.2,93,993.7,86,991.9,13.3
1552514531,2019,3,14,6,2,11,12.2,93,993.9,86,991.5,13.3
1552514594,2019,3,14,6,3,14,12.2,93,993.9,86,991.9,13.3
1552514654,2019,3,14,6,4,14,12.2,93,993.9,86,991.8,13.3
1552514715,2019,3,14,6,5,15,12.2,93,994,86,991.8,13.3
1552514771,2019,3,14,6,6,11,12.2,93,931.5,86,992,13.3
1552514835,2019,3,14,6,7,15,12.2,93,993.8,86,991.8,13.3
1552514892,2019,3,14,6,8,12,12.2,93,994.2,86,991.8,13.3
1552514952,2019,3,14,6,9,12,12.2,93,994.2,86,992,13.3
1552515015,2019,3,14,6,10,15,12.2,93,992.1,86,992,13.3
1552515073,2019,3,14,6,11,13,12.2,93,993.6,86,992,13.3
1552515132,2019,3,14,6,12,12,12.3,93,993.9,86,991.8,13.3
1552515192,2019,3,14,6,13,12,12.3,93,994.3,86,991.8,13.3
1552515255,2019,3,14,6,14,15,12.3,93,993.9,86,991.8,13.4
1552515313,2019,3,14,6,15,13,12.3,93,994.3,86,992,13.3
1552515375,2019,3,14,6,16,15,12.3,93,994.1,86,991.8,13.4
1552515433,2019,3,14,6,17,13,12.3,93,1077.9,86,991.8,13.4
1552515494,2019,3,14,6,18,14,12.3,93,993.4,86,991.8,13.4
1552515553,2019,3,14,6,19,13,12.3,93,993.6,86,991.8,13.4
1552515613,2019,3,14,6,20,13,12.3,93,993.7,86,991.8,13.4
1552515673,2019,3,14,6,21,13,12.3,93,994,86,991.7,13.4
1552515733,2019,3,14,6,22,13,12.3,93,993.8,86,991.7,13.4
1552515793,2019,3,14,6,23,13,12.3,93,993.5,86,991.5,13.4
1552515853,2019,3,14,6,24,13,12.3,93,993.3,86,991.7,13.4
1552515913,2019,3,14,6,25,13,12.2,93,993.7,86,991.8,13.4
1552515976,2019,3,14,6,26,16,12.2,93,993.5,86,992,13.3
1552516035,2019,3,14,6,27,15,12.2,93,993.5,86,992,13.4
1552516094,2019,3,14,6,28,14,12.2,93,993.5,86,991.9,13.4
1552516153,2019,3,14,6,29,13,12.2,93,993.5,86,991.9,13.4
1552516215,2019,3,14,6,30,15,12.2,93,993.5,86,991.8,13.4
1552516273,2019,3,14,6,31,13,12.2,93,993.5,86,991.8,13.4
1552516337,2019,3,14,6,32,17,12.2,93,993.5,86,991.7,13.4
1552516394,2019,3,14,6,33,14,12.2,93,993.5,86,991.6,13.4
1552516456,2019,3,14,6,34,16,12.2,93,993.5,86,992.1,13.4
1552516514,2019,3,14,6,35,14,12.3,93,994,86,991.9,13.4
1552516575,2019,3,14,6,36,15,12.2,93,993.7,86,991.7,13.4
1552516635,2019,3,14,6,37,15,12.2,93,993.8,86,991.9,13.4
1552516698,2019,3,14,6,38,18,12.2,93,993.5,86,992.1,13.4
1552516756,2019,3,14,6,39,16,12.3,93,993.8,86,992.1,13.4
1552516815,2019,3,14,6,40,15,12.3,93,994,86,992.1,13.4
1552516877,2019,3,14,6,41,17,12.3,93,994,86,992.1,13.4
1552516938,2019,3,14,6,42,18,12.3,93,994.2,86,991.9,13.4
1552516995,2019,3,14,6,43,15,12.3,93,993.9,86,992.1,13.4
1552517058,2019,3,14,6,44,18,12.3,93,993.7,86,992.1,13.4
1552517118,2019,3,14,6,45,18,12.3,93,993.6,86,991.9,13.4
1552517175,2019,3,14,6,46,15,12.4,93,993.8,86,992.1,13.5
1552517235,2019,3,14,6,47,15,12.4,93,993.6,86,991.8,13.4
1552517295,2019,3,14,6,48,15,12.5,93,993.3,87,991.8,13.4
1552517357,2019,3,14,6,49,17,12.5,93,993.1,87,991.6,13.4
1552517418,2019,3,14,6,50,18,12.5,93,992.9,87,991.6,13.4
1552517478,2019,3,14,6,51,18,12.5,93,992.5,87,991.8,13.4
1552517539,2019,3,14,6,52,19,12.5,93,992.6,87,992,13.4
1552517599,2019,3,14,6,53,19,12.5,93,992.9,87,991.6,13.4
1552517656,2019,3,14,6,54,16,12.5,93,992.7,87,991.8,13.5
1552517718,2019,3,14,6,55,18,12.6,93,992.7,87,991.7,13.5
1552517779,2019,3,14,6,56,19,12.6,93,929.9,87,991.7,13.5
1552517837,2019,3,14,6,57,17,12.6,93,992.2,87,993.4,13.5
1552517896,2019,3,14,6,58,16,12.7,93,994.5,87,993.4,13.5
1552517957,2019,3,14,6,59,17,12.6,93,994,87,993.4,13.5
1552518018,2019,3,14,7,0,18,12.6,93,993.8,87,993.4,13.4
1552518077,2019,3,14,7,1,17,12.6,92,993.9,87,993.4,13.4
1552518139,2019,3,14,7,2,19,12.6,92,993.4,87,993.6,13.4
1552518199,2019,3,14,7,3,19,12.5,92,994,87,993.6,13.4
1552518258,2019,3,14,7,4,18,12.6,92,993.7,87,993.4,13.4
1552518320,2019,3,14,7,5,20,12.6,92,993.7,87,991.7,13.4
1552518379,2019,3,14,7,6,19,12.6,92,993.4,87,991.7,13.4
1552518440,2019,3,14,7,7,20,12.6,92,993.7,87,993.6,13.4
1552518499,2019,3,14,7,8,19,12.7,92,975.5,87,991.7,13.4
1552518558,2019,3,14,7,9,18,12.7,91,994,87,993.6,13.4
1552518621,2019,3,14,7,10,21,12.7,91,993.1,87,993.6,13.5
1552518681,2019,3,14,7,11,21,12.7,91,993,87,991.7,13.5
1552518738,2019,3,14,7,12,18,12.7,91,993.2,87,993.6,13.5
1552518798,2019,3,14,7,13,18,12.7,91,993.6,87,993.5,13.5
